Use_Case_No,Use_Case_Type,Use_Case_Description,Date Added,Theme,Current_Target
88,Change Management,"Show evidence ECM escalated deficiencies against Global Change Enterprise Policy and Enterprise Change Standards including: Key Performance Indicators, Key Risk Indicators, Cascaded controls, Technical Incident caused by change analysis (all P1/High and P2/Medium) and thematic analysis trends that did not follow requirements Escalations will include FLU/CF Change Executives, Sponsoring LOB executives, technology executives, and key stakeholders for awareness, discussion and disposition as applicable and in accordance with the ECM Escalation/Consequence Model. Show Evidence: Health & Performance Reporting and escalation and consequence model; CGO-500",8/1/2019,Change Mgmt Policy Adherence,Target
89,Change Management,"The Change Executive representing Front Line Unit/Control Functions (FLU/CFs) must establish an ongoing process to evaluate their new and existing change efforts as potential candidates for the Key Initiative Portfolio (KIP) using the criteria in the KIP Guidelines, at least semi-annually.

FLU/CF must notify Enterprise Change Management (ECM) of the potential KIP candidates so that ECM can partner with the FLU/CF to obtain KIP designation approval from the GT&O SLT.

Evidence:
• Will be (but not limited to) meeting minutes from FLU/CF portfolio reviews where change efforts were reviewed for potential KIP designation. ; Cgo-600",8/1/2019,Change Mgmt Policy Adherence,Target
90,Change Management,"Show evidence a Change Requester obtained approvals for technology change requests, based on the ChangeCon Levels from the 2018 ChangeCon Approver Master List. The ChangeCon Approver Master List will be the source for all QA measurement of valid executive Approvers.; CGO-900",8/1/2019,Change Mgmt Policy Adherence,Target
91,Change Management,"Show evidence a Release Coordinator or Release Manager created an FLU/CF 12-Month Rolling View of Significant Change, Provide 12-month view of significant change of the required Critical Data Elements according to specified timeframes and update monthly,• Conduct and provide evidence of review of monthly output with impacted parties. Provide notification to impacted parties and Enterprise Change of any updates affecting the rolling view within 90 days of Release date. Show Evidence: FLU/CF 12-Month Rolling View of Significant Change; CGO-1000",8/1/2019,Change Mgmt Policy Adherence,Target
92,Change Management,"Show evidence a Program Manager updated program record to reflect outcome / close record.
Change Executive and Program Manager will review and approve this requirement as part of the tollgate. All projects within a Program must be closed before the Program can be closed; OP-200",8/1/2019,Change Mgmt Policy Adherence,Current
93,Change Management,"Show evidence a Project Manager documented: Ongoing risks and mitigation plans, New Service Level Agreements, Contacts for ongoing support (technology, production support, etc.)
Transition plan with applicable project team roles roles/responsibilities and their respective, assigned BAU owners, Lessons learned Sponsoring Line of Business (LOB) Lead and Technology Lead will review and approve this requirement as part of the tollgate. Technology Lead approval is not required for non-technology projects.; OP-2100",8/1/2019,Change Mgmt Policy Adherence,Target
94,Change Management,"Show evidence a Project Manager conducted a BAU acceptance review with Change Executive, Program Manager, Sponsoring LOB Lead and Technology Lead * to validate that the solution is performing as expected.; OP-2200",8/1/2019,Change Mgmt Policy Adherence,Target
95,Change Management,"Show evidence a Change Executive and Program Manager, Sponsoring Line of Business (LOB) Lead and Technology Lead reviewed and approved this requirement as part of the tollgate.; OP-2200",8/1/2019,Change Mgmt Policy Adherence,Current
96,Change Management,"Show evidence a Project Manager updated project record to reflect outcome / close record.
Change Executive, Program Manager, Sponsoring Line of Business (LOB) Lead and Technology Lead will review and approve this requirement as part of the tollgate. Technology Lead approvals is not required for non-technology projects.; OP-2300",8/1/2019,Change Mgmt Policy Adherence,Current
97,Change Management,Show evidence a Change Manager verified and/or certify the technical change after implementation and prior to change closure; OP-2300,8/1/2019,Change Mgmt Policy Adherence,Current
98,Change Management,"Show evidence a Change Coordinator updated change record to reflect change outcome / close change record. All change records in a technical failed change status must accurately identify the failure point (e.g. Plan, Build, Test, Deploy and/or Operate) within the Technical Change SOR at the point the change record is closed.; OP-2300",8/1/2019,Change Mgmt Policy Adherence,Current
99,Change Management,"Designated approvers must affirm that the requirements listed below are current, have been reviewed and are accurately satisfied for the project.  
• OP-2100: Evaluate Operational Stability
• OP-2200: Validate BAU Acceptance
• OP-2300: Close Change
Tollgates are not applicable to non-material technology change; OP-TG",8/1/2019,Change Mgmt Policy Adherence,Current
100,Change Management,A reporting front end that supports the Enterprise Change Management Health and Point of View reporting needs. Including the following reports: EDM Completeness Failures (People and System); Enterprise Data Quality Report; Internal Data Quality Report; Enterprise Change Program/Project Financial Burn Report; Initiative Org Chart Report,8/1/2019,Change,Target
101,Change Management,A reporting front end that supports the Enterprise Change Management Program and Project reporting needs. Including the following reports: Deployment Event Report; Permit AIT Leading Indicator Report; Program Business Outcomes Dashboard; Program Dashboard; Program Health Report; Program Health & Performance Scorecard; Program Inventory Report; Program Risk Dashboard; Program Scorecard; Project Dashboard; Project Inventory Report; Project Placemat View; Project Risk Dashboard; Roles Report,8/1/2019,Change,Target
102,Change Management,A reporting front end that supports the Enterprise Change Management Project QA Reviewer Report; Materiality Report; and Ad Hoc Reporting based on Change data,8/1/2019,Change,Target
103,Change Management,Ability to see all projects that align to programs,8/1/2019,Manage Projects,Current
104,Change Management,Identify all projects that are flagged regulatory,8/1/2019,Manage Projects,Current
105,Change Management,"Provide a list of all key stake holders for each project and program including the following: project manager, Champion, Program manager, delivery executive, sponsoring LOB lead, technology lead.",8/1/2019,Manage Project Governance,Current
106,Change Management,Provide a list of dependencies for each project,8/1/2019,Manage Projects,Target
107,Change Management,"Provide a list of project tollgates, status, start/end date and lead",8/1/2019,Manage Projects,Current
108,Change Management,"Provide a list of approvals, status, and approval date for each project",8/1/2019,Manage Projects,Current
109,Change Management,"Provide a copy of project plans including implementation, assessment of risk/impact/priority/urgency",8/1/2019,Manage Projects,Current
110,Change Management,"Provide a copy of all project testing plans, testing approval, pre and post production validation evidence",8/1/2019,Manage Projects,Current
111,Change Management,"Provide QA status, target date, reviewer, project url/SharePoint",8/1/2019,Manage Projects,Current
112,Change Management,"Provide a list of risk, mitigation plan, and target dates for each project",8/1/2019,Manage Projects,Current
113,Change Management,"Provide a list of all deployment events, dates, software impacts, technology impacts, employee impacts, client impact, CRQ ID,",8/1/2019,Manage Projects,Current
114,Change Management,"Provide a list of all tasks for each project, start/end date, percent complete",8/1/2019,Manage Projects,Target
115,Change Management,"Need to provide financial snapshot, funding source, amounts, budget spends, planned cost, actual cost, cost type, cost rate analysis, burn rate analysis.",8/1/2019,Manage Project Financials,Current
116,Change Management,"Need to provide a monthly actual vs planned financial snapshot, funding source, amounts, budget spends, planned cost, actual cost, cost type, cost rate analysis, burn rate analysis.",8/1/2019,Manage Project Financials,Current
117,Change Management,Provide Financial account details for each project,8/1/2019,Manage Project Financials,Current
118,Change Management,"Provide a list of all resources aligned to each project including hours, timesheets, resource name, resource manager, phase, suggested start date, AIT, App/team name, role, contact info,",8/1/2019,Manage Project Financials,Target
119,Change Management,"Provide a list of available project resources, location, three dot hierarchy",8/1/2019,Manage Project Financials,Target
120,Change Management,"Provide a list of all programs by CIO and their status(Yellow, Red, Green), condition(Budget, Schedule, Resource, Objectives, Tech Readiness, Employee Readiness, Client Readiness",8/1/2019,Program Status,Current
121,Change Management,"Provide Materiality Details including CIO, Materiality ID, Project ID, Change Title name, CRQ ID, Submitter NBKID, PRJ Finish date, PRJ start date, created by.",8/1/2019,Materiality,Current
122,Change Management,"Need to provide Program Health card that includes Program Status, Program Stage, Program Standards, CIO ,COO, Change Exec, Tech Representative, Business Outcomes, Program Condition and all leading/predicative conditions",8/1/2019,Program Health,Current
123,Change Management,"Provide a list of Business outcomes, Program Objectives, Status Summary, Risk Statement, Trends(Achieve Business Outcome, Achieve Program Objectives, Resource, Schedule, Budget, Technology Readiness, Employee Readiness, Client Customer Readiness) Key Risks, Mitigation Plan and Date. Also to include CIO, FLU Exec, Program Manager, Regional Impact, Program Condition, GTG/ Y Date, Report Date",8/1/2019,Change,Current
124,Change Management,"Provide a list of Program ID, Report date, Tier 1(MTM), Tier 2 (LOB), Tier 3 (Investment theme), Program Manager, Program Title, Program Description, Program Status, Program Stage, Program Condition, Comments, Current Financial Plan and actual/forecast",8/1/2019,Change,Current
125,Change Management,"Provide Upcoming Nexus Records including Project ID, Nexus ID, Health, Release Type, Event Name, Nexus Track, BRD Dispatch Date, DMAIC hours, Nexus Release Date",8/1/2019,Deployment events,Current
126,Change Management,"Provide Project Financials including Project ID, Project Title, YTD Actual, Plan $, Forecast $, Variance %, Burn Rate, Project Condition, % Complete, Exec Sponsor, SDE ,# of Open Issues",8/1/2019,Financials,Current
127,Change Management,"Provide a program inventory report that includes Project ID, Program Name, Program Description, Program Condition, go to Green/Yellow, Program Condition Comments, # of Archive Projects, Stage, Plan standards Program PCM ID, Program Start/End Date, Program Tier 1, 2,3 , CIO, Managing FLU, COO, Program Manager, Change Exec, Service Delivery Exec, Risk Reviewer, Program Created/Modified Date, Program Document Repository URL, Regional Impact, funding source, SOR",8/1/2019,Change,Current
128,Change Management,"Automate Enterprise Change Management business controls
- Data quality – 61 metrics calculated
- Completeness – 253 columns scanned/validated",8/1/2019,Data Controls,Target
129,Change Management,Automate production of change management evidence reports to rapidly provide immutable artifacts used during change tollgates,8/1/2019,Change Management,Target
130,Change Management,How many changes to systems with interfaces to system YY are in the process of being developed?,8/1/2019,Asset Lineage,Target
131,Change Management,How many applications are expected to be impacted by the ZZ shared service upgraded expected in 3 weeks?,8/1/2019,Asset Lineage,Target
132,Change Management,What business processes will be impacted by an emergency ChangeCon being planned for this weekend?,8/1/2019,Change Freeze,Target
133,Change Management,What will be the business impact of an emergency ChangeCon across US datacenters this weekend?,8/1/2019,Change Freeze,Target
134,Change Management,What systems interface with application XXX currently have changes in development?,8/1/2019,Asset Lineage,Target
135,Change Management,"List of infrastructure by location (e.g., Testing /Production /Platform /Databases), all applications supported, all application managers contacts to identify impact and support of specific ChangeCon Code Freezes",8/1/2019,Change Freeze,Target
136,Change Management,"Show evidence that Project Manager of projects with technology impacts validated all system impacts and dependencies (BtConverge) and completed an Impact Assessment (Data elements include:
Technology impacts and dependencies; and Any subsequent updates to technology impacts and dependencies Change Executive, Program Manager, Sponsoring Line of Business (LOB) Lead and Technology Lead will review and approve this requirement as part of the tollgate.); PLN-200",8/1/2019,Change Mgmt Policy Adherence,Target
137,Change Management,"Show evidence Each FLU/CF must designate a senior representative (at least Band 4) to be a member of the ECM GC. Primary and Proxy will be confirmed at least annually during stakeholder reviews, Enterprise Change Management must be notified as soon as possible, and within 30 days of representative changes. Show Evidence: ECM Governance Council Charter; CGO-300",8/1/2019,Change Mgmt Policy Adherence,Target
138,Change Management,Show evidence a FLU/CF representative or designated ECM approved proxy attended the scheduled Council meetings (target monthly cadence).  Failure to participate is subject to escalation. Evidence: Tracked attendance; CGO-300,8/1/2019,Change Mgmt Policy Adherence,Target
139,Change Management,Show evidence The senior FLU/CF representative or approved proxy complied with the roles and responsibilities outlined in the ECM GC Charter. Failure to participate is subject to escalation. Evidence: ECM Governance Council Charter and minutes/action items; CGO-300,8/1/2019,Change Mgmt Policy Adherence,Target
140,Change Management,Show evidence a FLU/CF designated a representative (at least Band 3) to be a member of the ECM ECG. Evidence: ECM Executive Governance Council Charter; CGO-400,8/1/2019,Change Mgmt Policy Adherence,Target
141,Change Management,"Designated members of the ECM Executive Governance Council must attend ECM EGC (targeted quarterly cadence) or designate an ECM approved proxy.
Evidence: ECM Executive Governance Council Attendance records; CGO-400",8/1/2019,Change Mgmt Policy Adherence,Target
142,Change Management,"Members must comply with the roles and responsibilities outlined in the ECM EGC Charter.
Evidence: ECM Executive Governance Council Charter; CGO-400",8/1/2019,Change Mgmt Policy Adherence,Target
143,Change Management,Provide project details for any infrastructure impact,8/1/2019,Manage Projects,Target
144,Change Management,Ability to automate ECM Change Convergence data routine based on data within GTO and SharePoint lists. Details to be provided by ECM team,8/1/2019,Change Management,Target
152,Resiliency MRA,What is the downstream system impact when a corruption of service occurs due to an upstream outage?,8/1/2019,Propagation,Target
153,Resiliency MRA,Where is the last best copy of data for an application in the event of a system outage?,8/1/2019,Last Best Copy,Target
154,Resiliency MRA,How is data moving across applications and infrastructure for a given Critical Business Service or Process?,8/1/2019,Data Lineage,Target
155,Resiliency MRA,Have data corruption indicators been observed in the environment?,8/1/2019,Corruption,Target
156,Application,"What is the number of LMAs (Line of Business Managed Applications) that are out of compliance with requirements to successfully fund the transfer and support of LMAs to Global Technology, or retire the LMA?",8/1/2019,Application Management,Target
157,Application,I need a list of all applications based upon cost center and 3-dot hierarchy,8/1/2019,Application Hierarchy,Current
158,Application,I need a list of applications by Cost Center,8/1/2019,Application,Current
159,Application,"I need a list of all applications, application descriptions, application owner, and status",8/1/2019,Application Management,Current
160,Application,I need a list of applications that have had changes in application status or pending application status (including new applications),8/1/2019,Application Management,Current
161,Application,I need to know an application's current system environment/ hosting details,8/1/2019,Asset Lineage,Current
162,Application,"Identify specific application contact/ownership: including, Application Manager, Management Contact, 2nd Level l production, LOB primary contact, Tech Executive contact, CIO, PMO Approver",8/1/2019,Identifying Accountability,Current
163,Application,"I need application Tech support information, team, operations team, offshore, hosting site, recovery site",8/1/2019,Identifying Accountability,Target
164,Application,Identify stale or missing app. ownership information,8/1/2019,Identify Data Quality Issues,Current
165,Application,"Identify application containing personal information, confidential information, Social Security #, Credit Card Data, Market Data, Transaction Data, Financial $ transactions, Tax Information",8/1/2019,Identifying Apps with Sensitive Data,Target
166,Application,"I need to review all applications for its risk/security information (encryption, encryption level, encryption APIs, access)",8/1/2019,Identifying Apps with Sensitive Data,Target
167,Application,I need a report of AIT #s to ensure user entitlements access to applications,8/1/2019,Facilitating the Right Access Control,Target
168,Application,"I need a application data security levels required based on data type (proprietary, confidential, etc.)",8/1/2019,Facilitating the Right Access Control,Target
169,Application,I need to validate the application certification lifecycle,8/1/2019,Managing Data Quality,Target
170,Application,I need a list of applications and the PMO approvers on behalf of technology executives,8/1/2019,Identifying Accountability,Current
171,Application,I need a an application list with changed statuses (including new applications),8/1/2019,Managing Application Landscape,Current
172,Application,I need a list of applications that have been or will be decommissioned and decommission date,8/1/2019,Managing Application Landscape,Current
173,Application,Ability to find application relationships for upstream and downstream applications using AIT#,8/1/2019,Understanding System Impacts,Current
174,Application,I need a all application third party/ vendor information,8/1/2019,Identifying 3rd Party Apps,Current
175,Application,I need a third party application executive name,8/1/2019,Identifying Accountability,Current
176,Application,I need a vendor application server type and computing environment,8/1/2019,Identifying 3rd Party Apps,Target
177,Application,I need a list of the application servers & data servers for my AITs,8/1/2019,Understanding App Dependencies,Current
178,Application,"US wire payments is having a P1 incident, show me the system architecture include data flows",8/1/2019,Asset Lineage,Target
179,Application,"I need a dashboard that allows for all applications to be organized under CIO, CIO Direct, Application Manager. And the data usage for each midrange, mainframe server",8/1/2019,Getting Application Data,Target
180,Application,I need a PCI card number change log for payment applications,8/1/2019,Identifying Apps with Sensitive Data,Target
181,Application,Identify application and Infrastructure lifecycle status,8/1/2019,Managing Application Landscape,Target
185,Infrastructure,What is the cost of a US wire payment?,8/1/2019,Infrastructure Costing,Target
186,Infrastructure,"A report that provides a list of all applications, its underlying infrastructure, the cost associated with each asset and the accountable technology owner",8/1/2019,Infrastructure Costing,Target
187,Infrastructure,Charge back application costs to Business Unit (AIT #),8/1/2019,Infrastructure Costing,Target
188,Infrastructure,I need a third party application cost,8/1/2019,Infrastructure Costing,Target
189,Infrastructure,I need all infrastructure current lease and cost information,8/1/2019,Infrastructure Costing,Target
190,Infrastructure,I need a report on financial cost of infrastructure by cost center,8/1/2019,Infrastructure Costing,Target
191,Infrastructure,"I need a hosting server information for each application including: server ownership and application ownership, lifecycle status, location, server name, serial number, and EARC product approval",8/1/2019,Understanding App Dependencies,Target
192,Infrastructure,I need a hosting server information for each database,8/1/2019,Understanding Database Dependencies,Current
193,Infrastructure,"I need the ability to look up AITs and determine each App’s Host Names/serial numbers including, Status,  Virtual Machine, Location (zip)",8/1/2019,Understanding Database Dependencies,Current
194,Infrastructure,I need a report on all general Infrastructure information,8/1/2019,Getting Infrastructure Data,Current
195,Infrastructure,I need a report on infrastructure environment/ hosting,8/1/2019,Understanding Infrastructure Dependencies,Current
196,Infrastructure,I need a report on application primary server locations,8/1/2019,Understanding App Dependencies,Current
197,Infrastructure,I need a report on infrastructure Tech support information,8/1/2019,Identifying Infra. Support,Target
198,Infrastructure,I need a report on a business owners of infrastructure,8/1/2019,Identifying Business Contacts,Target
199,Infrastructure,"I need latency and speed information of each midrange, mainframe",8/1/2019,Managing  Infrastructure Performance,Target
200,Infrastructure,Server Count by Environment,8/1/2019,Server Management,Current
201,Infrastructure,Server Count by Region,8/1/2019,Server Management,Current
202,Infrastructure,Monthly Server Counts by OS,8/1/2019,Server Management,Current
203,Infrastructure,Server Count by LOB Primary Support Group,8/1/2019,Server Management,Current
204,Infrastructure,Server Count by Manufacturer,8/1/2019,Server Management,Current
205,Infrastructure,"Report Infrastructure and Dependencies(AIT interdependencies, Infrastructure Dependencies, Network, App, Web and Data Servers etc.)",8/1/2019,Infrastructure Management,Current
206,Infrastructure,Report Device Count by Datacenter,8/1/2019,Device Management,Current
207,Infrastructure,"Report Device Usage by CTO, includes CTO/AIT, Connected Switches and Load Balancers",8/1/2019,Device Management,Current
208,Infrastructure,"Report Vulnerabilities by CIO and CIO 1-Down, includes issues by 30 days, 60 days, past due)",8/1/2019,Issue  Management,Current
209,Infrastructure,Report Middleware Dashboard- Web Application Summary,8/1/2019,Middleware Management,Current
210,Infrastructure,Report MS SQL Health Check Summary,8/1/2019,Database Management,Target
211,Infrastructure,"Report Database Summary:  including: Host, Instance, Database Types",8/1/2019,Database Management,Target
212,Infrastructure,"Report: For Any AIT, provide me with my Databases and all associated Database information",8/1/2019,Database Management,Target
213,Infrastructure,Report TOP 25 AITS with largest unused transformed storage,8/1/2019,Storage Management,Target
214,Infrastructure,Report SAN storage allocated by LOB,8/1/2019,Storage Management,Current
215,Infrastructure,Report NAS storage allocated by LOB,8/1/2019,Storage Management,Current
216,Infrastructure,Server Lifecycle Summary,8/1/2019,Server Management,Current
217,Metadata,I need to understand all data elements subjected to privacy laws,8/1/2019,Data Classifications,Target
218,Metadata,I need to understand the different types of privacy elements,8/1/2019,Data Classifications,Target
219,Metadata,I need to understand all data domains containing privacy data,8/1/2019,Data Classifications,Target
220,Metadata,I need a list of all assets registered to a data domain with their description and related information,8/1/2019,Data Dictionary,Target
221,Metadata,"I need a list of all data domains and their AIT, owner etc.",8/1/2019,Data Domain,Current
222,Metadata,I need to understand who is the DQCE,8/1/2019,Data Ownership,Current
223,Metadata,"I need a list of all business elements with their descriptions, server, database, table, etc. for a specific data domain",8/1/2019,Data Sourcing,Target
224,Metadata,"I need a list of all physical data elements with their descriptions, server, database, table, etc. for a specific data domain",8/1/2019,Data Sourcing,Target
225,Metadata,I need to understand the relationship between a physical data element and it's associated business element,8/1/2019,Data Sourcing,Target
226,Metadata,I need to understand all consumers of my data,8/1/2019,Data Usage,Target
227,Metadata,I need to understand the processes and controls around my data elements,8/1/2019,Data Usage,Target
228,Metadata,I need to understand all testing involved with my data domain,8/1/2019,Process Testing,Target
229,Metadata,I need to understand all processes and controls related to my data domain,8/1/2019,Process & Controls,Current
230,Metadata,I need to understand all sources I receive data from for my application,8/1/2019,Data Sourcing,Target
231,Metadata,I need to understand the data being provided by an ADS source,8/1/2019,Data Sourcing,Target
232,Metadata,I need to understand the data being provided by a Non-ADS source,8/1/2019,Data Sourcing,Target
233,Metadata,I need to understand if a physical data element has been transformed and if so why and how,8/1/2019,Data Transformations,Target
234,Metadata,I need to understand if a business element is materially transformed,8/1/2019,Data Transformations,Target
235,Metadata,I need to understand the number of ADS's that have met standard requirements,8/1/2019,Data Sourcing,Target
236,Metadata,"I need to understand the number of users, and their utilization",8/1/2019,Data Usage,Target
237,Metadata,I need to review the EDMR reports,8/1/2019,Data Usage,Current
238,Metadata,"What reports, data queries or feeds would be impacted if table ABC is decommissioned on System A",8/1/2019,Data Lineage,Target
239,Technology Lifecycle Management,"List of all software being deployed to ensure all deployed is classified as ""Core"" across all projects and change projects",8/1/2019,Policy Adherence,Target
240,Technology Lifecycle Management,Register new technology for Enterprise usage,8/1/2019,Registering new Technology,Target
241,Technology Lifecycle Management,I need a list of Infrastructure Technology or Vendor with current lifecycle status (approved for usage),8/1/2019,Understanding Technologies Permitted for Use,Target
242,Technology Lifecycle Management,I need a classified set of technologies,8/1/2019,Understanding Technologies Permitted for Use,Current
243,Technology Lifecycle Management,Determine whether a technology is open source or uses Flexera and follows step by step process,8/1/2019,Understanding Technologies Permitted for Use,Target
244,Technology Lifecycle Management,I need a Technologies for decommissioning / updating /status change,8/1/2019,Manage Enterprise Technologies,Current
245,Technology Lifecycle Management,I need a Technologies prohibited list,8/1/2019,Manage Enterprise Technologies,Current
246,Technology Lifecycle Management,Check if vendor needs to be updated/managed from lease,8/1/2019,Manage Enterprise Technologies,Target
247,Technology Lifecycle Management,User has to say if there is no legal exposure to licensing this product/vendor,8/1/2019,Manage Enterprise Technologies,Target
248,Technology Lifecycle Management,Ability to house and view the technology approval lifecycle (SOR for application use cases),8/1/2019,Manage Enterprise Applications,Current
251,Application,"I want to prepopulate the formal Audit Application manager questionnaire with the following: Application Status, SOX, Providers, Scope, Issues, Completeness, Consumers, movement, transformations, timeliness, availability, recovery, data quality, testing, transition, governance structure, policies and standards, controls, strategic planning, risk management, reporting and metrics, sources, 3rd party, enterprise adherence & oversight, RTO & RPO, Entitlements, eDIM, Business Requirements Governance, ADS Adoption, Approval Process, Release Government, Domain Health Metrics, Disaster Recovery, RCSA",8/1/2019,Application Audit,Target
252,Change Management,Application XX has had 2 failed changes in the last 3 releases – insert a mandatory manual review for the next 3 changes,8/1/2019,,Target
253,Change Management,There is an audit underway in the payments business – do not allow any work to support medium to high risk changes to be made until the end of the audit,8/1/2019,,Target
254,Metadata,I need to understand the number of licenses required and utilization,8/1/2019,Data Certification,Target
255,Metadata,I need to understand the types of licenses needed (Admin vs General User),8/1/2019,Data Certification,Target
276,Recovery and Resiliency,What is the number and percentage of recovery plans (business functions and applications) not successfully tested within the last 12 months,8/1/2019,Recovery,Current
277,Recovery and Resiliency,"Create a Business Impact Analysis by business function to highlight the impacts of disruptions to those functions. Capture key dependencies including other business functions, applications and vendors.",8/1/2019,Ensure  Recovery & Resiliency of Business,Target
278,Recovery and Resiliency,"Create a Business recovery plan to document recovery strategies for each business function. Plan should include recovery plan, RTO as well as stakeholders, resources, teams, tasks, vital records, coordinator, call lists, gaps/risks, tests are documented",8/1/2019,Ensure  Recovery & Resiliency of Business,Target
279,Recovery and Resiliency,"Ability to calculate and document any application and infrastructure Recovery Time Objective (RTO), Recovery Point Objective (RPO), RTO/RPO Approver, and RTO/RPO Approval Date based upon Application data",8/1/2019,Ensure Recovery & Resiliency of Applications,Target
280,Recovery and Resiliency,"I need to capture the Technical Recovery Plan that contains all general recovery information, such as plan coordinator, call lists, gaps/risks, test results, etc. Plan builders review all applications assigned to the plan and defines the respective recovery strategy for each",8/1/2019,Ensure Recovery & Resiliency of Applications,Target
281,Recovery and Resiliency,"Capture recovery plans for all 3rd party applications including recovery strategy, RTO/RPO",8/1/2019,Ensure Recovery & Resiliency of Applications,Target
282,Recovery and Resiliency,"Ability to view all BRP & TRP testing exercises status, success, type for any specific date",8/1/2019,Ensure Recovery & Resiliency Documentation,Target
283,Recovery and Resiliency,"Ability to view and search all BRP & TRP testing based upon scope name, owner, test type for any specific date",8/1/2019,Ensure Recovery & Resiliency Documentation,Target
284,Recovery and Resiliency,"Ability to view and search all BRP & TRP testing based upon test name, exercise aligned, status, type, category for any specific dates",8/1/2019,Ensure Recovery & Resiliency Documentation,Target
285,Recovery and Resiliency,Ability to identify and validate through testing the last good copy of data available for restoration in the case of a DR event,8/1/2019,"Ensure Recovery & Resiliency of the ""Last Good Copy""",Target
286,Recovery and Resiliency,Ability to view and search all BRP & TRP problem logs,8/1/2019,Ensure Recovery & Resiliency Documentation,Target
287,Recovery and Resiliency,Identify internally and externally hosted applications,8/1/2019,Test Recovery & Resiliency plans,Current
288,Recovery and Resiliency,Determine AIT#s to identify applications requiring TIA and TRPs,8/1/2019,Test Recovery & Resiliency plans,Target
289,Recovery and Resiliency,Identify application status to determine in production and retirement applications,8/1/2019,Test Recovery & Resiliency plans,Current
290,Recovery and Resiliency,Identify risk tiering for each application to determine resiliency tests,8/1/2019,Test Recovery & Resiliency plans,Target
291,Recovery and Resiliency,"Determine set of ""Business Functions"" for Business Recovery planning",8/1/2019,Test Recovery & Resiliency plans,Target
292,Recovery and Resiliency,"Determine the type of test for each application, mid-range or mainframe, appropriate for the Application Risk score",8/1/2019,Test Recovery & Resiliency plans,Target
293,Recovery and Resiliency,Identify Current Infrastructure location data and Recovery Location for test scoping,8/1/2019,Test Recovery & Resiliency plans,Current
294,Tech & Data Incident,I need to understand all related issues to my data,8/1/2019,Data Issues,Current
295,Tech & Data Incident,I need to understand any issue related to my data domain,8/1/2019,Data Issues,Current
296,Tech & Data Incident,I need to understand all sources with issues,8/1/2019,Data Issues,Current
297,Technology Lifecycle Management,"Ability to input requests for various application permissions and approvals (PTB, PTO, PTS)",8/1/2019,Manage Enterprise Applications,Target
304,Metadata,Metadata for key applications and infrastructure from DQC should populate TechADS,8/13/2020,Data Sourcing,Current
305,Metadata,Metadata Control definition data  for key applications and infrastructure from eIQ should populate TechADS,8/13/2020,Data Sourcing,Current
306,Metadata,Metadata Control test results data for key applications and infrastructure from eIQ populate TechADS,8/13/2020,Data Sourcing,Current
307,Metadata,Data Lineage information for key applications and infrastructure from DQC should populate TechADS,8/13/2020,Data Sourcing,Current
308,Metadata,"TechADS should be able to report on the data dictionary content of databases, data movements, data lineage,  data controls, and non-compliance with data standards (test results), showing the applications impacted and highlighting any regulatory or critical systems impact",8/13/2020,Data Sourcing,Current
309,Metadata,"TechADS should report all metadata elements from all metadata repositories, similar to DQC",8/13/2020,Data Sourcing,Current
310,Metadata,"TechADS should report all data lineage of all key data elements, such as the full data lifecycle lineage of any data produced, used  or consumed from a key or critical application",8/13/2020,Data Sourcing,Current
311,Metadata,TechADS should report metadata quality metrics from all controls for all key applications and infrastructure,8/13/2020,Data Sourcing,Current
312,Metadata,TechADS should report metadata compliance metrics from all controls for all key applications and infrastructure,8/13/2020,Data Sourcing,Current
313,Metadata,Reporting must identify data issues with PDE quality and track the issues both back to the source and forward to identify impact to support resiliency efforts (Data Lineage),8/13/2020,Data Sourcing,Current
314,Metadata,Reporting must identify trends and repeated data quality issues,8/13/2020,Data Sourcing,Current
315,Metadata,Reporting must identify applications and data that are non-compliant with metadata policies and standards and the level of risk the non-compliance represents,8/13/2020,Data Sourcing,Current
316,Metadata,Must maintain an up-to-date data dictionary that defines all  metadata elements required by policies and standards in the authorized metadata repository,8/13/2020,Data Sourcing,Current
317,Metadata,"Metadata must have controls for completeness, accuracy, timeliness and detect authorized and unauthorized changes to all critical physical data elements (PDE) consistent with the metadata playbook and control framework",8/13/2020,Data Sourcing,Current
318,Metadata,A data dictionary must be defined for all critical Tech ADS Source and Target applications; and must be stored and maintained with current metadata in the domain data repository consistent with metadata SLAs,8/13/2020,Data Sourcing,Current
319,Metadata,The mapping of data to and from designated systems must be collected by an automated scanning process and provide uniquely identifiable source and target information for all physical data elements (PDE),8/13/2020,Data Sourcing,Current
320,Metadata,"The Metadata in source and target database catalogs must be collected by an automated scanning process and provide complete source and target information for all physical data elements (PDE), including system name, instance, schema, table, column, and all metadata collected by the database catalog system.",8/13/2020,Data Sourcing,Current
321,Metadata,"All required metadata for key systems must be collected and stored in the domain repository, including technical and business element descriptions, compliant with the applicable metadata playbook(s)",8/13/2020,Data Sourcing,Current
322,Metadata,Metadata repositories must use naming conventions consistent with metadata playbook(s).,8/13/2020,Data Sourcing,Current
323,Metadata,"need to see complete data lineage of a full data lifecycle, tracing critical data to the system of origin and all systems that consume or transform the data, including ETL data transformations.",8/13/2020,Data Sourcing,Current
324,Metadata,"Metadata management systems should share data such that data only needs to be added once, and all systems are updated",8/13/2020,Data Sourcing,Current
